variable,dtype,unique_values,missing_full,missing_full_pct,missing_model_sample,missing_model_sample_pct,constant_variable,infinite_values,missing_group,first_year_available,last_year_available,available_rows,available_pct
gdp_per_capita_ppp_constant_2021_intl_usd,float64,4916,509,9.382488479262673,107,3.1158998252766454,False,0,0-10 %,2000,2024,3327,96.88410017472336
gdp_ppp_constant_2021_intl_usd,float64,4906,509,9.382488479262673,107,3.1158998252766454,False,0,0-10 %,2000,2024,3327,96.88410017472336
exchange_rate_lcu_per_usd,float64,3110,255,4.700460829493087,72,2.09668025626092,False,0,0-10 %,2000,2024,3362,97.90331974373908
gdp_per_capita_constant_2015_usd,float64,5159,266,4.903225806451613,32,0.9318578916715201,False,0,0-10 %,2000,2024,3402,99.06814210832849
gdp_growth_pct,float64,5164,257,4.7373271889400925,24,0.6988934187536401,False,0,0-10 %,2000,2024,3410,99.30110658124636
sovereign_debt_in_default_usd_mn,float64,2179,0,0.0,0,0.0,False,0,0 %,2000,2024,3434,100.0
sovereign_default_dummy,int64,2,0,0.0,0,0.0,False,0,0 %,2000,2024,3434,100.0
default_previous_5y,int64,2,0,0.0,0,0.0,False,0,0 %,2000,2024,3434,100.0
default_previous_10y,int64,2,0,0.0,0,0.0,False,0,0 %,2000,2024,3434,100.0
years_since_last_default,int64,66,0,0.0,0,0.0,False,0,0 %,2000,2024,3434,100.0
never_default_history_dummy,int64,2,0,0.0,0,0.0,False,0,0 %,2000,2024,3434,100.0
