iso3,year,indicator_code,variable,value
AND,2009,VC.BTL.DETH,battle_related_deaths,
AND,2010,VC.BTL.DETH,battle_related_deaths,
AND,2011,VC.BTL.DETH,battle_related_deaths,
AND,2012,VC.BTL.DETH,battle_related_deaths,
AND,2013,VC.BTL.DETH,battle_related_deaths,
AND,2014,VC.BTL.DETH,battle_related_deaths,
AND,2015,VC.BTL.DETH,battle_related_deaths,
AND,2016,VC.BTL.DETH,battle_related_deaths,
AND,2017,VC.BTL.DETH,battle_related_deaths,
AND,2018,VC.BTL.DETH,battle_related_deaths,
AND,2019,VC.BTL.DETH,battle_related_deaths,
AND,2020,VC.BTL.DETH,battle_related_deaths,
AND,2021,VC.BTL.DETH,battle_related_deaths,
AND,2022,VC.BTL.DETH,battle_related_deaths,
AND,2023,VC.BTL.DETH,battle_related_deaths,
AND,2024,VC.BTL.DETH,battle_related_deaths,
ARE,2000,VC.BTL.DETH,battle_related_deaths,
ARE,2001,VC.BTL.DETH,battle_related_deaths,
ARE,2002,VC.BTL.DETH,battle_related_deaths,
ARE,2003,VC.BTL.DETH,battle_related_deaths,
ARE,2004,VC.BTL.DETH,battle_related_deaths,
ARE,2005,VC.BTL.DETH,battle_related_deaths,
ARE,2006,VC.BTL.DETH,battle_related_deaths,
ARE,2007,VC.BTL.DETH,battle_related_deaths,
ARE,2008,VC.BTL.DETH,battle_related_deaths,
ARE,2009,VC.BTL.DETH,battle_related_deaths,
ARE,2010,VC.BTL.DETH,battle_related_deaths,
ARE,2011,VC.BTL.DETH,battle_related_deaths,
ARE,2012,VC.BTL.DETH,battle_related_deaths,
ARE,2013,VC.BTL.DETH,battle_related_deaths,
ARE,2014,VC.BTL.DETH,battle_related_deaths,
ARE,2015,VC.BTL.DETH,battle_related_deaths,
ARE,2016,VC.BTL.DETH,battle_related_deaths,
ARE,2017,VC.BTL.DETH,battle_related_deaths,
ARE,2018,VC.BTL.DETH,battle_related_deaths,
ARE,2019,VC.BTL.DETH,battle_related_deaths,
ARE,2020,VC.BTL.DETH,battle_related_deaths,
ARE,2021,VC.BTL.DETH,battle_related_deaths,
ARE,2022,VC.BTL.DETH,battle_related_deaths,3.0
ARE,2023,VC.BTL.DETH,battle_related_deaths,
ARE,2024,VC.BTL.DETH,battle_related_deaths,
ARG,2000,VC.BTL.DETH,battle_related_deaths,
ARG,2001,VC.BTL.DETH,battle_related_deaths,
ARG,2002,VC.BTL.DETH,battle_related_deaths,
ARG,2003,VC.BTL.DETH,battle_related_deaths,
ARG,2004,VC.BTL.DETH,battle_related_deaths,
ARG,2005,VC.BTL.DETH,battle_related_deaths,
ARG,2006,VC.BTL.DETH,battle_related_deaths,
ARG,2007,VC.BTL.DETH,battle_related_deaths,
ARG,2008,VC.BTL.DETH,battle_related_deaths,
ARG,2009,VC.BTL.DETH,battle_related_deaths,
ARG,2010,VC.BTL.DETH,battle_related_deaths,
ARG,2011,VC.BTL.DETH,battle_related_deaths,
ARG,2012,VC.BTL.DETH,battle_related_deaths,
ARG,2013,VC.BTL.DETH,battle_related_deaths,
ARG,2014,VC.BTL.DETH,battle_related_deaths,
ARG,2015,VC.BTL.DETH,battle_related_deaths,
ARG,2016,VC.BTL.DETH,battle_related_deaths,
ARG,2017,VC.BTL.DETH,battle_related_deaths,
ARG,2018,VC.BTL.DETH,battle_related_deaths,
ARG,2019,VC.BTL.DETH,battle_related_deaths,
ARG,2020,VC.BTL.DETH,battle_related_deaths,
ARG,2021,VC.BTL.DETH,battle_related_deaths,
ARG,2022,VC.BTL.DETH,battle_related_deaths,
ARG,2023,VC.BTL.DETH,battle_related_deaths,
ARG,2024,VC.BTL.DETH,battle_related_deaths,
ARM,2000,VC.BTL.DETH,battle_related_deaths,
ARM,2001,VC.BTL.DETH,battle_related_deaths,
ARM,2002,VC.BTL.DETH,battle_related_deaths,
ARM,2003,VC.BTL.DETH,battle_related_deaths,
ARM,2004,VC.BTL.DETH,battle_related_deaths,
ARM,2005,VC.BTL.DETH,battle_related_deaths,1.0
ARM,2006,VC.BTL.DETH,battle_related_deaths,
ARM,2007,VC.BTL.DETH,battle_related_deaths,
ARM,2008,VC.BTL.DETH,battle_related_deaths,
ARM,2009,VC.BTL.DETH,battle_related_deaths,
ARM,2010,VC.BTL.DETH,battle_related_deaths,
ARM,2011,VC.BTL.DETH,battle_related_deaths,
ARM,2012,VC.BTL.DETH,battle_related_deaths,9.0
ARM,2013,VC.BTL.DETH,battle_related_deaths,
ARM,2014,VC.BTL.DETH,battle_related_deaths,
ARM,2015,VC.BTL.DETH,battle_related_deaths,9.0
ARM,2016,VC.BTL.DETH,battle_related_deaths,4.0
ARM,2017,VC.BTL.DETH,battle_related_deaths,
ARM,2018,VC.BTL.DETH,battle_related_deaths,
ARM,2019,VC.BTL.DETH,battle_related_deaths,
ARM,2020,VC.BTL.DETH,battle_related_deaths,10.0
ARM,2021,VC.BTL.DETH,battle_related_deaths,10.0
ARM,2022,VC.BTL.DETH,battle_related_deaths,154.0
ARM,2023,VC.BTL.DETH,battle_related_deaths,20.0
ARM,2024,VC.BTL.DETH,battle_related_deaths,
ASM,2000,VC.BTL.DETH,battle_related_deaths,
ASM,2001,VC.BTL.DETH,battle_related_deaths,
ASM,2002,VC.BTL.DETH,battle_related_deaths,
ASM,2003,VC.BTL.DETH,battle_related_deaths,
ASM,2004,VC.BTL.DETH,battle_related_deaths,
ASM,2005,VC.BTL.DETH,battle_related_deaths,
ASM,2006,VC.BTL.DETH,battle_related_deaths,
ASM,2007,VC.BTL.DETH,battle_related_deaths,
ASM,2008,VC.BTL.DETH,battle_related_deaths,
ASM,2009,VC.BTL.DETH,battle_related_deaths,
ASM,2010,VC.BTL.DETH,battle_related_deaths,
ASM,2011,VC.BTL.DETH,battle_related_deaths,
ASM,2012,VC.BTL.DETH,battle_related_deaths,
ASM,2013,VC.BTL.DETH,battle_related_deaths,
ASM,2014,VC.BTL.DETH,battle_related_deaths,
ASM,2015,VC.BTL.DETH,battle_related_deaths,
ASM,2016,VC.BTL.DETH,battle_related_deaths,
ASM,2017,VC.BTL.DETH,battle_related_deaths,
ASM,2018,VC.BTL.DETH,battle_related_deaths,
ASM,2019,VC.BTL.DETH,battle_related_deaths,
ASM,2020,VC.BTL.DETH,battle_related_deaths,
ASM,2021,VC.BTL.DETH,battle_related_deaths,
ASM,2022,VC.BTL.DETH,battle_related_deaths,
ASM,2023,VC.BTL.DETH,battle_related_deaths,
ASM,2024,VC.BTL.DETH,battle_related_deaths,
ATG,2000,VC.BTL.DETH,battle_related_deaths,
ATG,2001,VC.BTL.DETH,battle_related_deaths,
ATG,2002,VC.BTL.DETH,battle_related_deaths,
ATG,2003,VC.BTL.DETH,battle_related_deaths,
ATG,2004,VC.BTL.DETH,battle_related_deaths,
