iso3,year,indicator_code,variable,value
AFG,2013,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,4.85228704838131
AFG,2013,FR.INR.RINR,real_interest_rate_pct,9.78449593859924
AFG,2014,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,7.7810908959605
AFG,2014,FR.INR.RINR,real_interest_rate_pct,14.3516893380043
AFG,2015,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,12.0536179767696
AFG,2015,FR.INR.RINR,real_interest_rate_pct,12.2525481629518
AFG,2016,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,11.0743789647307
AFG,2016,FR.INR.RINR,real_interest_rate_pct,17.5839381624543
AFG,2017,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,12.2018301907814
AFG,2017,FR.INR.RINR,real_interest_rate_pct,12.1411782956513
AFG,2018,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,8.88666018352578
AFG,2018,FR.INR.RINR,real_interest_rate_pct,
AFG,2019,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AFG,2019,FR.INR.RINR,real_interest_rate_pct,
AFG,2020,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AFG,2020,FR.INR.RINR,real_interest_rate_pct,
AFG,2021,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AFG,2021,FR.INR.RINR,real_interest_rate_pct,
AFG,2022,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AFG,2022,FR.INR.RINR,real_interest_rate_pct,
AFG,2023,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AFG,2023,FR.INR.RINR,real_interest_rate_pct,
AFG,2024,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AFG,2024,FR.INR.RINR,real_interest_rate_pct,
AGO,2000,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2000,FR.INR.RINR,real_interest_rate_pct,-60.7813270387153
AGO,2001,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2001,FR.INR.RINR,real_interest_rate_pct,-5.0329332162016
AGO,2002,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2002,FR.INR.RINR,real_interest_rate_pct,-41.329469094794
AGO,2003,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2003,FR.INR.RINR,real_interest_rate_pct,0.774759820527655
AGO,2004,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2004,FR.INR.RINR,real_interest_rate_pct,36.700397458153
AGO,2005,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2005,FR.INR.RINR,real_interest_rate_pct,19.6820166524126
AGO,2006,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2006,FR.INR.RINR,real_interest_rate_pct,2.30827389768521
AGO,2007,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2007,FR.INR.RINR,real_interest_rate_pct,11.9081334305188
AGO,2008,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2008,FR.INR.RINR,real_interest_rate_pct,-5.77235856616441
AGO,2009,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,
AGO,2009,FR.INR.RINR,real_interest_rate_pct,34.9396938669251
AGO,2010,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,3.17305056414186
AGO,2010,FR.INR.RINR,real_interest_rate_pct,-4.76194124269418
AGO,2011,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,2.01496821504011
AGO,2011,FR.INR.RINR,real_interest_rate_pct,-8.39804755590453
AGO,2012,FB.AST.NPER.ZS,bank_npl_pct_gross_loans,4.35011884491608
AGO,2012,FR.INR.RINR,real_interest_rate_pct,8.91040000959796
