iso3,year,global_competitiveness_index
COL,2012,4.18
COL,2013,4.19
COL,2014,4.23
COL,2015,4.28
COL,2016,4.3
COL,2017,4.29
CPV,2010,3.51
CPV,2011,3.58
CPV,2012,3.55
CPV,2013,3.53
CPV,2014,3.68
CPV,2015,3.7
CPV,2016,3.76
CPV,2017,3.76
CRI,2007,4.11
CRI,2008,4.23
CRI,2009,4.25
CRI,2010,4.31
CRI,2011,4.27
CRI,2012,4.34
CRI,2013,4.35
CRI,2014,4.42
CRI,2015,4.33
CRI,2016,4.41
CRI,2017,4.5
CYP,2007,4.23
CYP,2008,4.53
CYP,2009,4.57
CYP,2010,4.5
CYP,2011,4.36
CYP,2012,4.32
CYP,2013,4.3
CYP,2014,4.31
CYP,2015,4.23
CYP,2016,4.04
CYP,2017,4.3
CZE,2007,4.58
CZE,2008,4.62
CZE,2009,4.67
CZE,2010,4.57
CZE,2011,4.52
CZE,2012,4.51
CZE,2013,4.43
CZE,2014,4.53
CZE,2015,4.69
CZE,2016,4.72
CZE,2017,4.77
DEU,2007,5.51
DEU,2008,5.46
DEU,2009,5.37
DEU,2010,5.39
DEU,2011,5.41
DEU,2012,5.48
DEU,2013,5.51
DEU,2014,5.49
DEU,2015,5.53
DEU,2016,5.57
DEU,2017,5.65
DNK,2007,5.55
DNK,2008,5.58
DNK,2009,5.46
DNK,2010,5.32
DNK,2011,5.4
DNK,2012,5.29
DNK,2013,5.18
DNK,2014,5.29
DNK,2015,5.33
DNK,2016,5.35
DNK,2017,5.39
DOM,2007,3.65
DOM,2008,3.72
DOM,2009,3.75
DOM,2010,3.72
DOM,2011,3.73
DOM,2012,3.77
DOM,2013,3.76
DOM,2014,3.82
DOM,2015,3.86
DOM,2016,3.94
DOM,2017,3.87
DZA,2007,3.91
DZA,2008,3.71
DZA,2009,3.95
DZA,2010,3.96
DZA,2011,3.96
DZA,2012,3.72
DZA,2013,3.79
DZA,2014,4.08
DZA,2015,3.97
DZA,2016,3.98
DZA,2017,4.07
ECU,2007,3.57
ECU,2008,3.58
ECU,2009,3.56
ECU,2010,3.65
ECU,2011,3.82
ECU,2012,3.94
ECU,2013,4.18
ECU,2015,4.07
ECU,2016,3.96
ECU,2017,3.91
EGY,2007,3.96
EGY,2008,3.98
EGY,2009,4.04
EGY,2010,4.0
EGY,2011,3.88
EGY,2012,3.73
EGY,2013,3.63
EGY,2014,3.6
EGY,2015,3.66
EGY,2016,3.67
EGY,2017,3.9
ESP,2007,4.66
ESP,2008,4.72
ESP,2009,4.59
ESP,2010,4.49
ESP,2011,4.54
ESP,2012,4.6
ESP,2013,4.57
ESP,2014,4.55
ESP,2015,4.59
ESP,2016,4.68
ESP,2017,4.7
EST,2007,4.74
EST,2008,4.67
EST,2009,4.56
EST,2010,4.61
EST,2011,4.62
EST,2012,4.64
EST,2013,4.65
EST,2014,4.71
EST,2015,4.74
EST,2016,4.78
EST,2017,4.85
ETH,2007,3.28
ETH,2008,3.41
ETH,2009,3.43
ETH,2010,3.51
ETH,2011,3.76
ETH,2012,3.56
ETH,2013,3.5
ETH,2014,3.6
ETH,2015,3.74
ETH,2016,3.77
ETH,2017,3.78
FIN,2007,5.49
FIN,2008,5.5
FIN,2009,5.43
FIN,2010,5.37
FIN,2011,5.47
FIN,2012,5.55
FIN,2013,5.54
FIN,2014,5.5
FIN,2015,5.45
FIN,2016,5.44
FIN,2017,5.49
FRA,2007,5.18
FRA,2008,5.22
FRA,2009,5.13
FRA,2010,5.13
FRA,2011,5.14
FRA,2012,5.11
FRA,2013,5.05
FRA,2014,5.08
FRA,2015,5.13
FRA,2016,5.2
FRA,2017,5.18
GAB,2012,3.82
GAB,2013,3.7
GAB,2014,3.74
GAB,2015,3.83
GAB,2016,3.79
GBR,2007,5.41
GBR,2008,5.3
GBR,2009,5.19
GBR,2010,5.25
GBR,2011,5.39
GBR,2012,5.45
GBR,2013,5.37
GBR,2014,5.41
GBR,2015,5.43
GBR,2016,5.49
GBR,2017,5.51
GEO,2007,3.83
GEO,2008,3.86
GEO,2009,3.81
GEO,2010,3.86
GEO,2011,3.95
GEO,2012,4.07
GEO,2013,4.15
GEO,2014,4.22
GEO,2015,4.22
GEO,2016,4.32
GEO,2017,4.28
GHA,2008,3.62
GHA,2009,3.45
GHA,2010,3.56
GHA,2011,3.65
GHA,2012,3.79
GHA,2013,3.69
GHA,2014,3.71
GHA,2015,3.58
GHA,2016,3.68
GHA,2017,3.72
GIN,2012,2.9
GIN,2013,2.91
GIN,2014,2.79
GIN,2015,2.84
GIN,2017,3.47
GMB,2007,3.59
GMB,2008,3.88
GMB,2009,3.96
GMB,2010,3.9
GMB,2011,3.84
GMB,2012,3.83
GMB,2013,3.67
GMB,2014,3.53
GMB,2015,3.48
GMB,2016,3.47
GMB,2017,3.61
GRC,2007,4.08
GRC,2008,4.11
GRC,2009,4.04
GRC,2010,3.99
GRC,2011,3.92
GRC,2012,3.86
GRC,2013,3.93
GRC,2014,4.04
GRC,2015,4.02
GRC,2016,4.0
GRC,2017,4.02
GTM,2007,3.86
GTM,2008,3.94
GTM,2009,3.96
GTM,2010,4.04
GTM,2011,4.0
GTM,2012,4.01
GTM,2013,4.04
GTM,2014,4.1
GTM,2015,4.05
GTM,2016,4.08
GTM,2017,4.08
GUY,2007,3.25
GUY,2008,3.47
GUY,2009,3.56
GUY,2010,3.62
GUY,2011,3.73
GUY,2012,3.73
GUY,2013,3.77
GUY,2014,3.65
GUY,2015,3.56
HKG,2007,5.37
HKG,2008,5.33
HKG,2009,5.22
HKG,2010,5.3
HKG,2011,5.36
HKG,2012,5.41
HKG,2013,5.47
HKG,2014,5.46
HKG,2015,5.46
HKG,2016,5.48
HKG,2017,5.53
HND,2007,3.89
HND,2008,3.98
HND,2009,3.86
HND,2010,3.89
HND,2011,3.98
HND,2012,3.88
HND,2013,3.7
HND,2014,3.82
HND,2015,3.95
HND,2016,3.98
HND,2017,3.92
HRV,2007,4.2
HRV,2008,4.22
HRV,2009,4.03
HRV,2010,4.04
HRV,2011,4.08
HRV,2012,4.04
HRV,2013,4.13
HRV,2014,4.13
HRV,2015,4.07
HRV,2016,4.15
HRV,2017,4.19
HTI,2011,2.9
HTI,2012,2.9
HTI,2013,3.11
HTI,2014,3.14
HTI,2015,3.18
HTI,2017,3.22
HUN,2007,4.35
