iso3,year,global_competitiveness_index
SUR,2011,3.67
SUR,2012,3.68
SUR,2013,3.75
SUR,2014,3.71
SVK,2007,4.45
SVK,2008,4.4
SVK,2009,4.31
SVK,2010,4.25
SVK,2011,4.19
SVK,2012,4.14
SVK,2013,4.1
SVK,2014,4.15
SVK,2015,4.22
SVK,2016,4.28
SVK,2017,4.33
SVN,2007,4.48
SVN,2008,4.5
SVN,2009,4.55
SVN,2010,4.42
SVN,2011,4.3
SVN,2012,4.34
SVN,2013,4.25
SVN,2014,4.22
SVN,2015,4.28
SVN,2016,4.39
SVN,2017,4.48
SWE,2007,5.54
SWE,2008,5.53
SWE,2009,5.51
SWE,2010,5.56
SWE,2011,5.61
SWE,2012,5.53
SWE,2013,5.48
SWE,2014,5.41
SWE,2015,5.43
SWE,2016,5.53
SWE,2017,5.52
SWZ,2010,3.4
SWZ,2011,3.3
SWZ,2012,3.28
SWZ,2013,3.52
SWZ,2014,3.55
SWZ,2015,3.4
SWZ,2017,3.35
SYC,2012,4.1
SYC,2013,4.1
SYC,2014,3.91
SYC,2015,3.86
SYC,2017,3.8
SYR,2007,3.91
SYR,2008,3.99
SYR,2009,3.76
SYR,2010,3.79
SYR,2011,3.85
TCD,2007,2.78
TCD,2008,2.85
TCD,2009,2.87
TCD,2010,2.73
TCD,2011,2.87
TCD,2012,3.05
TCD,2013,2.85
TCD,2014,2.85
TCD,2015,2.96
TCD,2016,2.95
TCD,2017,2.99
THA,2007,4.7
THA,2008,4.6
THA,2009,4.56
THA,2010,4.51
THA,2011,4.52
THA,2012,4.52
THA,2013,4.54
THA,2014,4.66
THA,2015,4.64
THA,2016,4.64
THA,2017,4.72
TJK,2007,3.37
TJK,2008,3.46
TJK,2009,3.38
TJK,2010,3.53
TJK,2011,3.77
TJK,2012,3.8
TJK,2014,3.93
TJK,2015,4.03
TJK,2016,4.12
TJK,2017,4.14
TLS,2007,3.2
TLS,2008,3.15
TLS,2009,3.26
TLS,2010,3.23
TLS,2011,3.35
TLS,2012,3.27
TLS,2013,3.25
TLS,2014,3.17
TTO,2007,3.88
TTO,2008,3.85
TTO,2009,3.91
TTO,2010,3.97
TTO,2011,4.0
TTO,2012,4.01
TTO,2013,3.91
TTO,2014,3.95
TTO,2015,3.94
TTO,2016,3.93
TTO,2017,4.09
TUN,2007,4.59
TUN,2008,4.58
TUN,2009,4.5
TUN,2010,4.65
TUN,2011,4.47
TUN,2013,4.06
TUN,2014,3.96
TUN,2015,3.93
TUN,2016,3.92
TUN,2017,3.93
TUR,2007,4.25
TUR,2008,4.15
TUR,2009,4.16
TUR,2010,4.25
TUR,2011,4.28
TUR,2012,4.45
TUR,2013,4.45
TUR,2014,4.46
TUR,2015,4.37
TUR,2016,4.39
TUR,2017,4.42
TZA,2007,3.56
TZA,2008,3.49
TZA,2009,3.59
TZA,2010,3.56
TZA,2011,3.56
TZA,2012,3.6
TZA,2013,3.5
TZA,2014,3.57
TZA,2015,3.57
TZA,2016,3.67
TZA,2017,3.71
UGA,2007,3.33
UGA,2008,3.35
UGA,2009,3.53
UGA,2010,3.51
UGA,2011,3.56
UGA,2012,3.53
UGA,2013,3.45
UGA,2014,3.56
UGA,2015,3.66
UGA,2016,3.69
UGA,2017,3.7
UKR,2007,3.98
UKR,2008,4.09
UKR,2009,3.95
UKR,2010,3.9
UKR,2011,4.0
UKR,2012,4.14
UKR,2013,4.05
UKR,2014,4.14
UKR,2015,4.03
UKR,2016,4.0
UKR,2017,4.11
URY,2007,3.97
URY,2008,4.04
URY,2009,4.1
URY,2010,4.23
URY,2011,4.25
URY,2012,4.13
URY,2013,4.05
URY,2014,4.04
URY,2015,4.09
URY,2016,4.17
URY,2017,4.15
USA,2007,5.67
USA,2008,5.74
USA,2009,5.59
USA,2010,5.43
USA,2011,5.43
USA,2012,5.47
USA,2013,5.48
USA,2014,5.54
USA,2015,5.61
USA,2016,5.7
USA,2017,5.85
VEN,2007,3.63
VEN,2008,3.56
VEN,2009,3.48
VEN,2010,3.48
VEN,2011,3.51
VEN,2012,3.46
VEN,2013,3.35
VEN,2014,3.32
VEN,2015,3.3
VEN,2016,3.27
VEN,2017,3.23
VNM,2007,4.04
VNM,2008,4.1
VNM,2009,4.03
VNM,2010,4.27
VNM,2011,4.24
VNM,2012,4.11
VNM,2013,4.18
VNM,2014,4.23
VNM,2015,4.3
VNM,2016,4.31
VNM,2017,4.36
YEM,2011,3.06
YEM,2012,2.97
YEM,2013,2.98
YEM,2014,2.96
YEM,2016,2.74
YEM,2017,2.87
ZAF,2007,4.42
ZAF,2008,4.41
ZAF,2009,4.34
ZAF,2010,4.32
ZAF,2011,4.34
ZAF,2012,4.37
ZAF,2013,4.37
ZAF,2014,4.35
ZAF,2015,4.39
ZAF,2016,4.47
ZAF,2017,4.32
ZMB,2007,3.29
ZMB,2008,3.49
ZMB,2009,3.5
ZMB,2010,3.55
ZMB,2011,3.67
ZMB,2012,3.8
ZMB,2013,3.86
ZMB,2014,3.86
ZMB,2015,3.87
ZMB,2016,3.6
ZMB,2017,3.52
ZWE,2007,2.88
ZWE,2008,2.88
ZWE,2009,2.77
ZWE,2010,3.03
ZWE,2011,3.33
ZWE,2012,3.34
ZWE,2013,3.44
ZWE,2014,3.54
ZWE,2015,3.45
ZWE,2016,3.41
ZWE,2017,3.32
