country_source,country_slug,country_url
Romania,romania,https://countryeconomy.com/ratings/romania
Russia,russia,https://countryeconomy.com/ratings/russia
Rwanda,rwanda,https://countryeconomy.com/ratings/rwanda
Saint Vincent and the Grenadines,saint-vincent-the-grenadines,https://countryeconomy.com/ratings/saint-vincent-the-grenadines
San Marino,san-marino,https://countryeconomy.com/ratings/san-marino
Saudi Arabia,saudi-arabia,https://countryeconomy.com/ratings/saudi-arabia
Senegal,senegal,https://countryeconomy.com/ratings/senegal
Serbia,serbia,https://countryeconomy.com/ratings/serbia
Seychelles,seychelles,https://countryeconomy.com/ratings/seychelles
Singapore,singapore,https://countryeconomy.com/ratings/singapore
Slovakia,slovakia,https://countryeconomy.com/ratings/slovakia
Slovenia,slovenia,https://countryeconomy.com/ratings/slovenia
South Africa,south-africa,https://countryeconomy.com/ratings/south-africa
South Korea,south-korea,https://countryeconomy.com/ratings/south-korea
Spain,spain,https://countryeconomy.com/ratings/spain
Sri Lanka,sri-lanka,https://countryeconomy.com/ratings/sri-lanka
Suriname,suriname,https://countryeconomy.com/ratings/suriname
Sweden,sweden,https://countryeconomy.com/ratings/sweden
Switzerland,switzerland,https://countryeconomy.com/ratings/switzerland
Taiwan,taiwan,https://countryeconomy.com/ratings/taiwan
Thailand,thailand,https://countryeconomy.com/ratings/thailand
The Gambia,gambia,https://countryeconomy.com/ratings/gambia
Trinidad and Tobago,trinidad-tobago,https://countryeconomy.com/ratings/trinidad-tobago
Tunisia,tunisia,https://countryeconomy.com/ratings/tunisia
Turkmenistan,turkmenistan,https://countryeconomy.com/ratings/turkmenistan
Türkiye,turkey,https://countryeconomy.com/ratings/turkey
Uganda,uganda,https://countryeconomy.com/ratings/uganda
Ukraine,ukraine,https://countryeconomy.com/ratings/ukraine
United Arab Emirates,united-arab-emirates,https://countryeconomy.com/ratings/united-arab-emirates
United Kingdom,uk,https://countryeconomy.com/ratings/uk
United States,usa,https://countryeconomy.com/ratings/usa
Uruguay,uruguay,https://countryeconomy.com/ratings/uruguay
Uzbekistan,uzbekistan,https://countryeconomy.com/ratings/uzbekistan
Venezuela,venezuela,https://countryeconomy.com/ratings/venezuela
Viet Nam,vietnam,https://countryeconomy.com/ratings/vietnam
Zambia,zambia,https://countryeconomy.com/ratings/zambia
